Date,Open,High,Low,Close,Volume,MA200W,rising,from_above,evt_5pct,evt_4pct,evt_3pct,evt_2pct,evt_1pct,evt_touch,setup_start
1993-11-05,10.0,10.25,9.375,9.625,8479800,7.019375,True,True,False,False,False,False,False,False,False
1993-11-12,9.6875,10.125,9.375,9.875,7373400,7.05,True,True,False,False,False,False,False,False,False
1993-11-19,9.875,10.125,9.0625,9.25,10279200,7.0775,True,True,False,False,False,False,False,False,False
1993-11-26,9.25,9.6875,8.9375,9.5625,7134400,7.106875,True,True,False,False,False,False,False,False,False
1993-12-03,9.625,9.75,9.1875,9.25,6582200,7.135625,True,True,False,False,False,False,False,False,False
1993-12-10,9.1875,9.1875,8.6875,8.8125,9211200,7.1615625,True,True,False,False,False,False,False,False,False
1993-12-17,8.9375,9.1875,8.8125,8.9375,5239200,7.188125,True,True,False,False,False,False,False,False,False
1993-12-24,9.0625,9.0625,8.5,8.6875,6198000,7.2121875,True,True,False,False,False,False,False,False,False
1993-12-31,8.6875,9.125,8.625,8.875,5481000,7.2340625,True,True,False,False,False,False,False,False,False
1994-01-07,8.875,9.25,8.375,9.1875,12375800,7.2575,True,True,False,False,False,False,False,False,False
1994-01-14,9.1875,9.4375,8.8125,9.4375,8460000,7.2815625,True,True,False,False,False,False,False,False,False
1994-01-21,9.375,9.875,9.25,9.625,7931200,7.305,True,True,False,False,False,False,False,False,False
1994-01-28,9.5625,10.6875,9.5,10.1875,12648400,7.333125,True,True,False,False,False,False,False,False,False
1994-02-04,10.3125,10.4375,10.0625,10.1875,7414000,7.361875,True,True,False,False,False,False,False,False,False
1994-02-11,10.125,11.125,10.0625,10.625,9802400,7.3928125,True,True,False,False,False,False,False,False,False
1994-02-18,10.75,11.25,10.5625,10.875,5299800,7.425625,True,True,False,False,False,False,False,False,False
1994-02-25,10.8125,11.1875,10.5,10.625,4205600,7.4571875,True,True,False,False,False,False,False,False,False
1994-03-04,10.6875,12.0625,10.625,11.6875,10496200,7.4946875,True,True,False,False,False,False,False,False,False
1994-03-11,11.5625,14.625,10.625,14.125,38587000,7.5415625,True,True,False,False,False,False,False,False,False
